id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_secondary_lat,closest_secondary_long,closest_train_lat,closest_train_long,closest_tram_lat,closest_tram_long,closest_bus_lat,closest_bus_long,closest_park_lat,closest_park_long
435048763,7/65 York Street,Richmond,3121,350,House,1,1,1,0,N,-37.81308641,144.993823,-37.81363,144.99574,-37.81648,145.00226,-37.810398,144.9925,-37.809694,144.992962,-37.812662,144.990985,-37.80745804,145.00663
431170638,8/185 Stawell Street,Richmond,3121,400,Apartment,2,1,1,0,N,-37.82599174,145.0097772,-37.81585,145.00824,-37.82251,145.01433,-37.82756,145.007555,-37.826901,145.009607,-37.834738,145.004646,-37.83096796,145.0029147
435019795,2 Wells Street,Richmond,3121,750,House,3,1,1,0,N,-37.811293,145.003367,-37.80898,144.99881,-37.81648,145.00226,-37.810398,144.9925,-37.810829,145.004041,-37.80187,145.007189,-37.80745804,145.00663
434796015,13 Mckay St,Richmond,3121,825,House,3,1,0,0,N,-37.811631,145.004187,-37.81464,145.00748,-37.81648,145.00226,-37.810398,144.9925,-37.810976,145.00423,-37.80187,145.007189,-37.80745804,145.00663
431279338,2/107-109 Swan Street,Richmond,3121,550,Apartment,2,1,0,0,N,-37.82517118,144.9947932,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.82538,144.9959,-37.824442,144.989007,-37.83096796,145.0029147
435060435,13/357 Church St,Richmond,3121,226,Studio,0,1,0,0,N,-37.82326097,144.9986031,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.823727,144.998354,-37.821125,144.989506,-37.83096796,145.0029147
434998883,29 Berry Street,Richmond,3121,795,House,3,1,0,0,N,-37.819187,144.998576,-37.81363,144.99574,-37.83731,144.96665,-37.8264,144.997066,-37.818729,144.999079,-37.817298,144.990178,-37.83096796,145.0029147
434077891,37 Stephenson Street,Cremorne,3121,500,House,2,1,0,0,N,-37.828431,144.993725,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.82524,144.993484,-37.833961,144.992828,-37.83096796,145.0029147
435135887,2/6 Kent Street,Richmond,3121,570,Apartment,2,2,1,0,N,-37.81473488,145.0004522,-37.81363,144.99574,-37.81648,145.00226,-37.814949,144.991423,-37.81433,145.000039,-37.812662,144.990985,-37.80745804,145.00663
435125335,116/45 York Street,Richmond,3121,560,Apartment,2,2,1,0,N,-37.81300531,144.9930372,-37.81363,144.99574,-37.81648,145.00226,-37.814949,144.991423,-37.809786,144.992551,-37.812662,144.990985,-37.80745804,145.00663
426289962,318 Victoria Street,Richmond,3121,1100,House,5,2,4,0,N,-37.810864,145.002027,-37.80898,144.99881,-37.81648,145.00226,-37.810398,144.9925,-37.810648,145.000797,-37.800741,145.001711,-37.80745804,145.00663
422744882,101/229 Bridge Road,Richmond,3121,355,Apartment,1,1,0,0,N,-37.818096,144.997349,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.818219,144.996639,-37.817298,144.990178,-37.83096796,145.0029147
435118199,5/17 Stillman St,Richmond,3121,325,Flat,1,1,1,0,N,-37.82169433,145.0098673,-37.81585,145.00824,-37.82251,145.01433,-37.82756,145.007555,-37.819535,145.008873,-37.821346,145.02382,-37.81742702,145.0151437
422982962,20 Lord Street,Richmond,3121,790,Townhouse,2,2,2,1,N,-37.820548,145.004572,-37.81585,145.00824,-37.81741,145.0028,-37.82756,145.007555,-37.819083,145.003977,-37.834053,145.000381,-37.83096796,145.0029147
435097495,Unit 109/183 Bridge Road,Richmond,3121,650,Townhouse,2,2,1,0,N,-37.81805056,144.9959805,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.818361,144.996499,-37.817298,144.990178,-37.83096796,145.0029147
425313930,10/47 Rowena Pde,Richmond,3121,250,Studio,0,1,0,0,N,-37.820381,144.992027,-37.81363,144.99574,-37.83731,144.96665,-37.824074,144.990164,-37.818023,144.993577,-37.821125,144.989506,-37.83096796,145.0029147
435097011,ID:21099288/38 Elizabeth Street,Richmond,3121,510,Apartment,2,2,1,0,N,-37.81126862,144.9928152,-37.81363,144.99574,-37.80298,144.9905,-37.810398,144.9925,-37.809786,144.992551,-37.810424,144.991386,-37.80745804,145.00663
435096599,3/275 Burnley St,Richmond,3121,300,Unit,1,1,1,0,N,-37.8229946,145.0078695,-37.81585,145.00824,-37.82251,145.01433,-37.82756,145.007555,-37.81948,145.007772,-37.834738,145.004646,-37.81742702,145.0151437
430954222,8B Allowah Terrace,Richmond,3121,875,Townhouse,3,1,2,0,N,-37.818702,144.995885,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.818361,144.996499,-37.817298,144.990178,-37.83096796,145.0029147
434148391,11 Berry Street,Richmond,3121,950,House,3,3,2,0,N,-37.819103,144.997805,-37.81363,144.99574,-37.83731,144.96665,-37.8264,144.997066,-37.818472,144.998791,-37.817298,144.990178,-37.83096796,145.0029147
